Serial no.,Date,Order no.,Order title,Page Count,Price
0,2-Nov-19,467813,Order  Human Activity Is Primarily Responsible for Global,3,750
1,4-Nov-19,472048,Order  topic of your choosing as long as it pertains to,5,1250
2,5-Nov-19,473526,Order  project managment,5,1250
3,6-Nov-19,475195,Order  change agent,3,750
4,7-Nov-19,475306,Order  American History,1,250
5,8-Nov-19,476631,Order  Selling - Listening,1,250
6,8-Nov-19,477042,Order  project evaluation discussion,1,250
9,8-Nov-19,477281,Order  Assignment,1,250
10,8-Nov-19,477498,Order  why american houses keep getting bigger,2,500
11,9-Nov-19,477994,Order  Aquifer Case,1,250
12,9-Nov-19,475300,Order  From sinners in the hand of an angry God,1,250
13,9-Nov-19,477600,Conflict Theory Order ,2,500
14,10-Nov-19,476222,Order  designer babies,2,500
Total,,,,,7000
